אביסל|אַ ביסל|קצת
אייןגעקריצט|איין געקריצט|נחקק
איינארדענן|איינארדענן|לסדר, לארגן
איינבויגן|איינבויגן|לכופף
איינגעארדנט|איינגעאָרדנט|סודר, נערך
איינגעארדנט(האט)|איינגעאָרדנט (האָט)|סודר
איינגעבאקן|איינגעבאקן|אפוי בתוך, מושרש היטב
איינגעבויגן|איינגעבויגן|התכופף
איינגעבן|איינגעבן|להגיש; זיך איינגעבן: לעלות בידו
איינגעוואנדערט|איינגעוואַנדערט|היגר, עלה
איינגעווארצלט|אַיינגעוואָרצלט|הִשתרשה
איינגעוויליקט|איינגעוויליקט|הביע רצונו
איינגעחזרט|איינגעחזרט|שינן, חזר על תלמודו
איינגעטיילט|איינגעטיילט|חילקו
איינגעלאדן|אַיינגעלאַדען|הזמין
איינגעמארגענט|איינגעמאָרגענט|סידרו
איינגעפירט|איינגעפירט|הנהיג (מנהג), הכניס
איינגעפעסטיקטער|איינגעפעסטיקטער|מבוסס
איינגעקויפט|איינגעקויפט|קנה, ערך קניות
איינגעריכטעט(האט)|איינגעריכטעט (האָט)|הותקן
איינגערעדט|איינגערעדט|שכנע, הכניס בדעתו
איינגעשטילטווערן|איינגעשטילט ווערן|לשקוט, להרגע
איינגעשטימט|איינגעשטימט|הסכים
איינגעשטעלט|איינגעשטעלט|העמיד בסכנה; קבע, הסדיר
איינגעשלאסן|איינגעשלאָסן|מסוגר
איינגעשלאפן|איינגעשלאפן|נרדם
איינגעשפאנט|איינגעשפּאַנט|מתוח, ממותח
איינגעשפארט|אייַנגעשפּאַרט|עקשן
איינדרוק|איינדרוק|רושם
איינדרוקספול|איינדרוקספול|מרשים
איינוואהנער|איינוואָהנער|תושבי
איינוואוינער|איינוואוינער|תושב
איינווארצלונג|איינוואָרצלונג|השרשה
איינזאם|איינזאַם|בודד
איינזן|איינזען|תובנה
איינטענהט|איינטענה'ט|טוען, מתלונן
איינטענהן|איינ'טענה'ן|לטעון
אייניגע|אייניגע|כמה, מספר
אייניקל|אייניקל|נכד
אייניקלעך|אייניקלעך|נכדים
אייניקע|אייניקע|אחדים, כמה
אייניקעל|אייניקעל|נכד
איינמאל|איינמאָל|פעם-אחת
אייננעמן|אייננעמן|לכבוש; ליטול (תרופה)
איינס|איינס|אחד, דבר אחד
איינע|איינע|אחת
איינעם|איינעם|אחד (מוטה)
איינער|איינער|אחד
איינפאך|איינפאַך|פשוט
איינפאכע|איינפאַכע|שִטחי, פשטני,
איינפאל|איינפאל|מִתקפה
איינפאל|איינפאַל|המצאה
איינפלוס|איינפלוס|השפעה
איינפעסטיקונג|איינפעסטיקונג|התבצרות
איינפרעסן|איינפּרעסען|לִכבּוש, לִדחוס
איינצונעמן|איינצונעמען|לכבוש
איינציק|איינציק|יחיד, בודד
איינציקער|איינציקער|יחיד
איינצלהייט|איינצלהייט|פרט
איינצלנע|איינצלנע|יחידים, בודדים
איינצעלהייטן|איינצעלהייטן|פרטים
איינצעלכע|איינצעלכע|אחדים, אחדות
איינצעלנע|איינצעלנע|בודדים, יחידים
איינשלאפן|אַיינשלאָפען|להֵרָדֵם
איינשפאנן|איינשפאנן|לרתום
איינשפארןזיך|אייַנשפּאַרן זיך|להתעקש
אייער|אייער|שלך
אייערנעכטן|אייערנעכטן|שלשום
אייערער|אייערער|שלכם
אייר|אייר|שלכם
אייראפע|אייראפע|אירופה
איך|איך|אני
אים|אים|אותו, לו
אימעצן|אימעצן|מישהו
אין|אין|ב-, בתוך
איןאמת|אין אמת|באמת
איןגאנצן|אין גאַנצן|בכלל
איןגיכן|אין גיכן|בקרוב
איןדעם|אין דעם|בזה, בתוך ה־
איןדערנענטערן|אין דערנענטערן|בקירוב
איןהארץ|אין הארץ|בלב
איןהרגש|אין הרגש|ברגש
איןווארעמקייט|אין וואַרעמקייט|בחמימות
איןווייטן|אין ווייטן|מרחוק
איןטיפן|אין טיפֿן|בעומק
איןיידישקייט|אין יידישקייט|ביהדות
איןכוח|אין כוח|בכוח
איןלעבן|אין לעבן|בחיים
איןנפש|אין נפש|בנפש
איןפועל|אין פועל|בפועל
איןפנים|אין פּנים|בפנים
איןקדושה|אין קדושה|בקדושה
איןשלום|אין שלום|בשלום
איןשמחה|אין שמחה|בשמחה
איןתורה|אין תורה|בתורה
איןתפילה|אין תפילה|בתפילה
אינאיינעם|אינאיינעם|ביחד, יחדיו
אינגאנצן|אינגאַנצן|לגמרי
אינגל|אינגל|ילד, נער (=יינגל)
אינגלעך|אינגלעך|ילדים, נערים
אינגעל|אינגעל|ילד, נער
אינדערהיים|אינדערהיים|בבית
אינדערוואכן|אינדערוואָכן|באמצע השבוע
אינדערפרי|אינדערפרי|בבוקר
אינהאלט|אינהאַלט|תוכן
אינווייניק|אינווייניק|בִפְנים
אינוועניק|אינוועניק|בפנים, פנימה
אינטעליגענט|אינטעליגענט|חכם
אינטערעס|אינטערעס|אכפתיות, עניין, עניין, תשומת לב
אינטערעסירט|אינטערעסירט|עִנְיֵין
אינטערעסירטזיך|אינטערעסירט זיך|התעניין
אינטערעסירן|אינטערעסירען|הִתעניינות, לעָניין, לעורר עניין
אינטערעסירןזיך|אינטערעסירן זיך|להתעניין
אינטריגע|אינטריגע|מדון
אינמיטן|אינמיטן|באמצע
איננעמן|איננעמען|לכבוש
אינעווייניק|אינעווייניק|מבפנים
אינעם|אינעם|בתוך ה-
אינערליכן|אינערליכן|פנימי
אינערליכע|אינערליכע|פנימית, פנימיים
אינפל|אינפֿל|השפעה
אינצווישן|אינצווישן|בינתיים
אינקוויזיציע|אינקוויזיציע|אינקוויזיציה
אינרליכער|אינרליכער|פנימי
איער|איער|שלכם (=אייער)
איף|איף|על (=אויף)
איצט|איצט|עכשיו, כרגע
איצטיגע|איצטיגע|עכשויים
איצטיקן|איצטיקן|נכחי, עכשווי
איצטיקע|איצטיקע|הנוכחית
איצטיקער|איצטיקער|נכחי
איצטער|איצטער|כעת, עכשיו
איר|איר|לה, שלה, אותה
איר(ווייבלעך)|איר (וויַיבלעך)|אַתן
איר(מענלעך)|איר (מענלעך)|אַַתם
אירע|אירע|שלה
אכט|אַכט|שמונה
אכטונג|אַכטונג|תשומת לב
אכטן|אַכטן|לכבד
אכציק|אַכציק|שמונים
אכצן|אַכצן|שמונה עשרה
אלגעמיין|אַלגעמיין|כללי
אלגעמיינע|אלגעמיינע|כלליים
אלגעמיינעם|אלגעמיינעם|כללי
אלגעמיינער|אַלגעמיינער|כללי
אלוואו|אַלוואו|בכל מקום
אלווארן|אַלוואָרן|לכל מקום
אלט|אלט|זקן, ישן
אלטן|אַלטן|זקן, ישן (מוטה)
אלטע|אַלטע|ישן, זקן
אלטער|אַלטער|זקן, ישן (זכר)
אלטערנאטיוו|אַלטערנאַטיוו|חלופה
אלטפרענקיש|אַלט־פרענקיש|מיושן
אליין|אַליין|בעצמו, לבדו
אלס|אַלס|בתור
אלע|אַלע|כולם, כל
אלעם|אלעם|הכל, כולם (=אלעמען)
אלעמאל|אַלעמאָל|תמיד
אלעמן|אַלעמען|כולם (מוטה)
אלעס|אַלעס|הכל
אלץ|אַלץ|הכל
אלץאמאל|אַלץ אַמאָל|כל פעם
אמאהל|אַמאָהל|פעם
אמאל|אַ מאָל|פעם אחת
אמאל|אַמאָל|פעם
אמאליגע|אַמאָליגע|של פעם, קודמים
אמאליגער|אמאליגער|של פעם, קדום
אמאליקן|אַמאָליקן|של פעם, לשעבר
אמאליקע|אמאליקע|של פעם, מימים עברו
אמאליקער|אַמאָליקער|של פעם, לשעבר
אמווייניקסטן|אַמווייניקסטן|לכל הפחות
אמווייניקסטנס|אַמווייניקסטנס|לפחות
אמוליק|אַמוליק|ישן, של פעם
אמונהדיק|אמונה'דיק|מאמין
אמטרייהייט|אמטרייהייט|בגידה
אמעריקא|אמעריקא|אמריקה
אמעריקאנער|אַמעריקאַנער|אמריקאי
אמעריקע|אַמעריקע|אמריקה
אמפערטזיך|אַמפּערט זיך|כועס, מתרגז
אמפערןזיך|אַמפּערן זיך|להתווכח
אמתדיק|אמת'דיק|אמיתי
אמתן|אמתן|אמת (אין אמת'ן=באמת)
אמתער|אמתער|אמיתי
אן|אָן|בלי, ללא
אןאנדער|אַן אַנדער|אחר
אנאנדער|אַנאַנדער|אחר
אנבאט|אָנבאָט|הצעה, בקשה
אנבאטנדיק|אָנבאָטנדיק|מציע, מגיש
אנגורייטן|אָנגורייטן|להכין
אנגיהויבן|אנגיהויבן|התחיל (אנגעהויבן)
אנגיין|אָנגיין|להמשיך
אנגיקומן|אנגיקומן|הגיע (=אנגעקומען)
אנגירופן|אנגירופן|ענה, אמר (אנגערופן)
אנגעבאטן|אָנגעבאָטן|הציע
אנגעבאטן|אָנגעבּאָטען|ביקש
אנגעבן|אָנגעבן|לציין, לדווח
אנגעברענטער|אָנגעברענטער|שרוף, נלהב
אנגעגאסן|אָנגעגאָסן|מָזַג
אנגעוואקסן|אנגעוואקסן|גדל, התרבה
אנגעוויזן|אָנגעוויזן|הצביע
אנגעויבן|אָנגעהויבן|להתחיל, התחיל
אנגעויבן|אָנגעהויבּען|התחיל, התחיל, התחילו
אנגעזאגט|אנגעזאגט|הודיע, ציווה
אנגעזאפט|אָנגעזאַפּט|רוויי, ספג,ספוג
אנגעזהן|אָנגעזהען|בלט, נראה
אנגעזופט|אָנגעזוּפּט|שתוי, שיכור
אנגעטאן|אָנגעטאַָן|לבושים
אנגעטאן|אָנגעטאָן|מלובש, לבש, התלבש
אנגעטאפט(האט)|אָנגעטאַפּט (האָט)|מישש
אנגעלעגענהייטן|אַנגעלעגענהייטען|הזדמנות
אנגענומן|אָנגענוּמען|של-השני
אנגענומן|אַנגענומען|קיבל
אנגענומעןגעווארן|אנגענומען געוואָרן|התקבל
אנגעפאלן|אָנגעפאַלן|נפל
אנגעפאנגן|אָנגעפאַנגען|התחיל
אנגעפילט|אנגעפילט|מילא; ממולא
אנגעפירט|אָנגעפירט|מונהג, מנוהל
אנגעפירטגעווארן|אָנגעפירט געוואָרן|נוּהל, הֻנחה
אנגעפרארענער|אָנגעפראָרענער|קפוא, קר
אנגעצונדן|אָנגעצונדן|דלוק, הדליק
אנגעקומן|אָנגעקוּמען|היגיע‏(ו)
אנגעקומן|אַנגעקומען|הגיע
אנגעקליבן|אנגעקליבן|נאסף, הצטבר
אנגערהאלבן|אָנגערהאַלבּען|אחד וחצי
אנגערופן|אָנגערופען|נקרא(ת)
אנגערירט|אנגערירט|נגע ב־
אנגעשטעלטגעווארן|אָנגעשטעלט געוואָרן|כֻּוַן, הוּעמד
אנגעשטריינגטע|אָנגעשטריינגטע|מייגעים
אנגעשפארט|אָנגעשפאַרט|נשען
אנגעשריבן|אָנגעשריבן|נכתב
אנגרייפער|אָנגרייפער|שולטים
אנדאכט|אַנדאַכט|כוונה
אנדאנקבאר|אַנדאַנקבאַר|אסיר תודה
אנדאנקבארקייט|אַנדאַנקבאַרקייט|הכרת תודה
אנדער|אַנדער|אחר
אנדערינס|אַנדערינס|של-האחר
אנדערן|אַנדערן|אחר (מוטה)
אנדערע|אַנדערע|אחרים
אנדערער|אַנדערער|אחר
אנדערש|אַנדערש|אחר, אחרת
אנהאלט|אָנהאַלט|אחיזה
אנהאלטן|אַנהאַלטן|להחזיק
אנהויב|אָנהויב|התחלה
אנהויבן|אָנהויבן|להתחיל
אנהייב|אָנהייב|התחלה
אנהייבן|אָנהייבן|להתחיל
אנהייבנדיק|אַנהייבנדיק|מתחיל
אנהענגער|אָנהענגער|תומכים, חסידים, מצדד, חסיד
אנהערן|אנהערן|(זיך) להאזין, לשמוע היטב
