אַ ביסל|קצת|a little
אייבערשטער|הקב"ה, העליון|the Most High, God
אייגן|עיניים|own
אייגןע|עצמי (נקבה/רבים)|own (f./pl.)
אייגןער|עצמי (זכר)|own (m.)
אייגנאַרטיקער|מקורי|distinctive, original
אייגנטלעך|למעשה|actually, in fact
אייגנשאפט|תכונה|quality, trait
אייגנשאפטן|תכונות|qualities, traits
אייגענהענדיגע|כתב יד שלו|in his own hand(writing)
אייגענטום|רכוש, קניין|property, possession
אייגענע|שלו (של עצמו)|own
אייגענעם|עצמי, שלו (מוטה)|own (inflected)
אייגענער|שלו עצמו|his own
אייגענר|עצמי|own
אייגענשאַפט|תוכן, תכונה, תכונה, מאפיין|quality, characteristic
איידים|חתן (בעל הבת)|son-in-law
איידימס|של החתן|son-in-law's
איידל|עדין, אצילי|refined, noble
איידלסטע|האציליים ביותר, המעודנים ביותר|noblest, most refined
איידלקייט|עדינות, אצילות|refinement, nobility
איידעלן|עדין (מוטה)|refined (inflected)
איידעלסטע|עדין - ביותר|most refined
איידעלע|עדינים, אציליים|refined, noble (pl.)
איידעלער|עדין ביותר|more refined
איידעלקייט|עידון, עדינות|refinement, delicacy
איידעם|חתן (בעל-הבת)|son-in-law
איידעמס|חתנים|sons-in-law
איידער|לפני|before, rather than
אייוואָרצלונג|השתרשות|taking root, entrenchment
אייז|קרח|ice
אייזל|חמור|donkey
אייזלען|חמורים|donkeys
אייזן|ברזל|iron
אייזערנע|ברזל|iron (adj.)
אייזערנעם|של ברזל|of iron
אייך|לכם|you (pl., obj.)
איילט|מְמָהר|hurries, is in a hurry
אייליק|דָחוּף|urgent
איילן|למהר, לחפוז|to hurry, to rush
איילן זיך|למהר, להחפז|to hurry oneself
אַיילען|ממהרים|hurry, rush (pl.)
איילעניש|חפזון, בהילות|haste, urgency
איין|אחד|one
איין געקריצט|נחקק|engraved, etched in
איינארדענן|לסדר, לארגן|to arrange, to organize
איינבויגן|לכופף|to bend in
איינגעאָרדנט|סודר, נערך|arranged, organized
איינגעאָרדנט (האָט)|סודר|arranged
איינגעארדענט|מסודר, מאורגן|arranged, organized
איינגעבאקן|אפוי בתוך, מושרש היטב|baked in; deeply rooted
איינגעבויגן|התכופף|bent, stooped
איינגעבן|להגיש; זיך איינגעבן: לעלות בידו|to submit; to succeed
איינגעהילט|עטוף|wrapped, enveloped
איינגעוואַנדערט|היגר, עלה|immigrated
אַיינגעוואָרצלט|הִשתרשה|took root, became rooted
איינגעווארצעלט|מושרש|rooted, entrenched
איינגעוויליקט|הביע רצונו|consented, agreed
איינגעחזרט|שינן, חזר על תלמודו|reviewed, memorized
איינגעטיילט|חילקו|divided, classified
אַיינגעלאַדען|הזמין|invited
איינגעמאָרגענט|סידרו|arranged, settled
איינגעפירט|הנהיג (מנהג), הכניס|introduced, instituted
איינגעפעסטיקטער|מבוסס|established, firmly set
איינגעקויפט|קנה, ערך קניות|bought, did shopping
איינגעקריצט|חקוק|engraved, etched in
איינגעריכטעט (האָט)|הותקן|set up, installed
איינגערעדט|שכנע, הכניס בדעתו|persuaded, talked into
איינגעשטאנען|התאכסן|lodged, stayed
איינגעשטילט ווערן|לשקוט, להרגע|to quiet down, to calm
איינגעשטימט|הסכים|agreed, consented
איינגעשטעלט|העמיד בסכנה; קבע, הסדיר|risked; set, regulated
איינגעשלאָסן|מסוגר|enclosed, included
איינגעשלאפן|נרדם|fell asleep
איינגעשפּאַנט|מתוח, ממותח|tense, strained
אייַנגעשפּאַרט|עקשן|stubborn, obstinate
איינדרוק|רושם|impression
איינדרוקספול|מרשים|impressive
איינהאלטן|לרסן, לעצור|to restrain, to hold back
איינוואָהנער|תושבי|inhabitants of
איינוואוינער|תושב|inhabitant, resident
איינוואָרצלונג|השרשה|taking root, rooting
איינזאַם|בודד|lonely, solitary
איינזען|תובנה|insight; to realize
איינטענה'ט|טוען, מתלונן|argues, complains
איינ'טענה'ן|לטעון|to argue, to claim
אייניגע|כמה, מספר|several, some
אייניקל|נכד|grandchild
אייניקלעך|נכדים|grandchildren
אייניקע|אחדים, כמה|several, some
אייניקעל|נכד|grandchild
איינמאָל|פעם-אחת|once
אייננעמן|לכבוש; ליטול (תרופה)|to conquer; to take (medicine)
איינס|אחד, דבר אחד|one, one thing
איינע|אחת|one (f.)
איינעם|אחד (מוטה)|one (inflected)
איינער|אחד|one, someone
איינפאַך|פשוט|simple, simply
איינפאַכע|שִטחי, פשטני,|simple, simplistic
איינפאל|מִתקפה|invasion, attack
איינפאַל|המצאה|idea, notion; invention
איינפלאנצן|לנטוע, להשריש|to implant, to instill
איינפלוס|השפעה|influence
איינפעסטיקונג|התבצרות|fortification, entrenchment
איינפּרעסען|לִכבּוש, לִדחוס|to press in, to compress
איינצונעמען|לכבוש|to conquer, to capture
איינציק|יחיד, בודד|single, sole
איינציקער|יחיד|only one, sole
איינצלהייט|פרט|detail
איינצלנע|יחידים, בודדים|individual, separate
איינצעלהייטן|פרטים|details
איינצעלכע|אחדים, אחדות|a few, some
איינצעלנע|בודדים, יחידים|individual, separate
איינצעלנער|יחיד, בודד|individual, single
איינקלאנג|התאמה, הרמוניה|harmony, accord
איינרעדעניש|אשליה, דמיון שווא|delusion, self-deception
אַיינשלאָפען|להֵרָדֵם|to fall asleep
איינשפאנן|לרתום|to harness
אייַנשפּאַרן זיך|להתעקש|to insist, to be stubborn
אייער|שלך|your
אייערנעכטן|שלשום|the day before yesterday
אייערער|שלכם|yours (pl.)
אייר|שלכם|your (pl.)
אייראפא|אירופה|Europe
אייראפע|אירופה|Europe
איך|אני|I
אים|אותו, לו|him, to him
אימעצן|מישהו|someone
אין|ב-, בתוך|in
אין אמת|באמת|truly, in truth
אין גאַנצן|בכלל|entirely, completely
אין גיכן|בקרוב|soon
אין דעם|בזה, בתוך ה־|in this, therein
אין דערנענטערן|בקירוב|approximately
אין הארץ|בלב|in the heart
אין הרגש|ברגש|with feeling
אין וואַרעמקייט|בחמימות|with warmth
אין ווייטן|מרחוק|from afar
אין טיפֿן|בעומק|in the depths
אין יידישקייט|ביהדות|in Judaism
אין כוח|בכוח|in potential, in power
אין לעבן|בחיים|in life
אין נפש|בנפש|in the soul
אין פועל|בפועל|in actuality, in practice
אין פּנים|בפנים|in the face
אין קדושה|בקדושה|in holiness
אין שלום|בשלום|in peace
אין שמחה|בשמחה|in joy
אין תורה|בתורה|in Torah
אין תפילה|בתפילה|in prayer
אינאיינעם|ביחד, יחדיו|together
אינגאַנצן|לגמרי|completely, entirely
אינגיכען|בקרוב|soon
אינגל|ילד, נער (=יינגל)|boy
אינגלעך|ילדים, נערים|boys
אינגעל|ילד, נער|boy
אינגער|צעיר יותר|younger
אינדערהיים|בבית|at home
אינדערוואָכן|באמצע השבוע|during the week, on weekdays
אינדערפרי|בבוקר|in the morning
אינהאַלט|תוכן|content
אינווייניק|בִפְנים|inside, within
אינוועניק|בפנים, פנימה|inside, within
אינטעליגענט|חכם|intelligent
אינטערעס|אכפתיות, עניין, עניין, תשומת לב|interest, concern
אינטערעסירט|עִנְיֵין|interested
אינטערעסירט זיך|התעניין|took interest
אינטערעסירן זיך|להתעניין|to be interested
אינטערעסירען|הִתעניינות, לעָניין, לעורר עניין|to interest, to arouse interest
אינטריגע|מדון|intrigue
אינמיטן|באמצע|in the middle
איננעמען|לכבוש|to conquer, to capture
אינסטיטוציע|מוסד|institution
אינספּיראַציע|השראה|inspiration
אינעווייניק|מבפנים|inside, within
אינעם|בתוך ה-|in the
אינערליכן|פנימי|inner, internal
אינערליכע|פנימית, פנימיים|inner, internal
אינפֿל|השפעה|influence
אינצווישן|בינתיים|meanwhile, in the meantime
אינקוויזיציע|אינקוויזיציה|Inquisition
אינרליכער|פנימי|inner, internal
איער|שלכם (=אייער)|your (pl.)
איף|על (=אויף)|on
איצט|עכשיו, כרגע|now
איצטיגע|עכשויים|present, current
איצטיגער|הנוכחי|the present, current
איצטיקן|נכחי, עכשווי|present, current
איצטיקע|הנוכחית|the present, current
איצטיקער|נכחי|present, current
איצטער|כעת, עכשיו|now
איר|לה, שלה, אותה|her, to her
איר (וויַיבלעך)|אַתן|you (f. pl.)
איר (מענלעך)|אַתם|you (m. pl.)
אירע|שלה|her, hers
אַכט|שמונה|eight
אַכטונג|תשומת לב|attention, heed
אַכטן|לכבד|to respect, to esteem
אַכציק|שמונים|eighty
אַכצן|שמונה עשרה|eighteen
אַלגעמיין|כללי|general
אלגעמיינע|כלליים|general (pl.)
אלגעמיינעם|כללי|general (inflected)
אַלגעמיינער|כללי|general
אַלוואו|בכל מקום|wherever, everywhere
אַלוואָרן|לכל מקום|to everywhere
אלט|זקן, ישן|old
אַלטן|זקן, ישן (מוטה)|old (inflected)
אַלטע|ישן, זקן|old
אַלטער|זקן, ישן (זכר)|old (m.); age
אַלטערנאַטיוו|חלופה|alternative
אַלט־פרענקיש|מיושן|old-fashioned
אַליין|בעצמו, לבדו|oneself, alone
אַלס|בתור|as
אַלע|כולם, כל|all
אלעם|הכל, כולם (=אלעמען)|everything, everyone
אַלעמאָל|תמיד|always, every time
אַלעמען|כולם (מוטה)|everyone (inflected)
אַלעס|הכל|everything
אַלץ|הכל|everything; all
אַלץ אַמאָל|כל פעם|every time
אַמאָהל|פעם|once, formerly
אַמאָל|פעם|once, formerly
אַמאָליגע|של פעם, קודמים|former, of old
אמאליגער|של פעם, קדום|former, ancient
אַמאָליקן|של פעם, לשעבר|former (inflected)
אמאליקע|של פעם, מימים עברו|former, of bygone days
אַמאָליקער|של פעם, לשעבר|former, erstwhile
אַמווייניקסטן|לכל הפחות|at least
אַמווייניקסטנס|לפחות|at least
אַמוליק|ישן, של פעם|former, of old
אמונה'דיק|מאמין|faithful, believing
אמטרייהייט|בגידה|treachery, betrayal
אמעריקא|אמריקה|America
אַמעריקאַנער|אמריקאי|American
אַמעריקע|אמריקה|America
אַמפּערט זיך|כועס, מתרגז|quarrels, gets angry
אַמפּערן זיך|להתווכח|to quarrel, to argue
אמת'דיק|אמיתי|true, genuine
אמתן|אמת (אין אמת'ן=באמת)|truth (in truth)
אמתער|אמיתי|true, genuine
אָן|בלי, ללא|without
אַן אַנדער|אחר|another
אַנאַנדער|אחר|another
אָנבאָט|הצעה, בקשה|offer, proposal
אָנבאָטנדיק|מציע, מגיש|offering
אָנגורייטן|להכין|to prepare
אנגיהויבן|התחיל (אנגעהויבן)|began, started
אנגיהייבין|התחיל (כתיב ישן)|began (old spelling)
אָנגיין|להמשיך|to continue, to go on
אנגיקומן|הגיע (=אנגעקומען)|arrived
אנגירופן|ענה, אמר (אנגערופן)|responded, said
אָנגעבאָטן|הציע|offered
אָנגעבּאָטען|ביקש|requested; offered
אָנגעבן|לציין, לדווח|to state, to indicate
אָנגעברענטער|שרוף, נלהב|ardent, fervent
